profit,language,country,is_english
26423726.0,English,USA,1
-19292673.0,English,USA,1
-29593736.0,English,USA,1
-4797910.0,English,USA,1
-903266.0,English,USA,1
-35962961.0,English,USA,1
150619.0,English,USA,1
-15559345.0,English,USA,1
-5094254.0,English,USA,1
851636.0,English,USA,1
-14182006.0,English,USA,1
-2604984.0,German,Germany,0
165388685.0,English,USA,1
-85995841.0,English,USA,1
-13912817.0,English,USA,1
-6803933.0,English,UK,1
12117571.0,English,USA,1
65871240.0,English,USA,1
-35646427.0,English,USA,1
23874933.0,English,USA,1
11900000.0,English,USA,1
-1971342.0,English,Spain,1
-1891482.0,English,USA,1
20033643.0,English,USA,1
-8965564.0,English,UK,1
-27805940.0,English,Spain,1
2386698.0,English,USA,1
12362581.0,English,Peru,1
1102171.0,English,USA,1
51990286.0,English,USA,1
-9976725.0,English,France,1
-17680813.0,English,UK,1
-1573149.0,English,USA,1
-401983.0,English,France,1
36360018.0,English,USA,1
-24731154.0,English,USA,1
403279547.0,English,USA,1
9975979.0,English,Australia,1
-6608826.0,English,USA,1
45000874.0,English,China,1
-24922769.0,Kazakh,France,0
-25747235.0,English,France,1
-20519686.0,English,USA,1
52264926.0,English,USA,1
615792.0,English,USA,1
5584685.0,English,USA,1
-20656327.0,English,USA,1
104948780.0,English,Canada,1
-21735014.0,English,USA,1
1093039.0,English,USA,1
-113021005.0,English,USA,1
5927406.0,English,USA,1
-17287907.0,English,USA,1
-2127109510.0,Japanese,Japan,0
-881622.0,English,UK,1
-7701890.0,English,Canada,1
131507.0,French,France,0
-17092709.0,English,USA,1
-19596068.0,English,UK,1
-36426209.0,English,USA,1
-19871876.0,English,New Zealand,1
43346930.0,English,USA,1
-34636971.0,English,South Korea,1
17850000.0,English,USA,1
16874745.0,English,USA,1
3290318.0,English,USA,1
90900000.0,English,USA,1
21747570.0,English,Canada,1
-1333.0,English,UK,1
117979556.0,English,USA,1
1014398.0,English,Germany,1
-5382932.0,English,USA,1
76801374.0,English,USA,1
2862501.0,English,USA,1
-28505730.0,English,USA,1
26068547.0,English,UK,1
32266306.0,English,USA,1
-10897090.0,English,USA,1
-18435269.0,English,USA,1
-46866.0,English,USA,1
9042266.0,English,USA,1
22360069.0,English,USA,1
5993605.0,English,USA,1
-84540684.0,English,UK,1
-2196204.0,English,USA,1
-18774204.0,English,UK,1
-6349262.0,English,USA,1
16597830.0,English,USA,1
-34369221.0,English,USA,1
-20288322.0,English,USA,1
14551000.0,English,UK,1
15764085.0,English,USA,1
-9777353.0,German,Germany,0
74006080.0,English,UK,1
-88062505.0,English,USA,1
-553005191.0,Mandarin,China,0
9533945.0,English,USA,1
-24731154.0,English,USA,1
-2481780.0,English,USA,1
9975979.0,English,Australia,1
55416609.0,English,USA,1
6383298.0,English,USA,1
8830000.0,English,USA,1
-7484640.0,Aboriginal,UK,0
-27059493.0,English,USA,1
-64927587.0,Mandarin,China,0
-6050307.0,English,USA,1
-5876166.0,English,USA,1
77997349.0,English,USA,1
53200012.0,English,USA,1
-22324928.0,English,UK,1
1109095.0,English,USA,1
-11752860.0,English,UK,1
1081498.0,English,USA,1
41149655.0,English,USA,1
747724.0,English,USA,1
80011740.0,English,USA,1
-57435963.0,English,USA,1
-8359756.0,English,USA,1
45776832.0,English,USA,1
-7891338.0,English,USA,1
-6428265.0,English,USA,1
197756197.0,English,Australia,1
-14057170.0,English,USA,1
61423650.0,English,USA,1
-37955679.0,English,USA,1
14399750.0,English,USA,1
-13069116.0,English,USA,1
91519448.0,English,USA,1
97992827.0,English,USA,1
-7116045.0,English,USA,1
-2438373.0,English,USA,1
-40008098.0,English,USA,1
54195633.0,English,USA,1
-22496684.0,English,USA,1
329999255.0,English,USA,1
53300000.0,English,UK,1
5434867.0,English,USA,1
5565975.0,English,USA,1
45523073.0,English,USA,1
31359959.0,English,USA,1
50263257.0,English,USA,1
4733909.0,English,USA,1
31094903.0,English,UK,1
17112929.0,English,USA,1
24363530.0,English,USA,1
-9773208.0,English,UK,1
241395.0,English,USA,1
4158074.0,English,USA,1
-954324.0,English,USA,1
-1780971.0,English,USA,1
8197405.0,English,UK,1
38543795.0,English,USA,1
-36439040.0,English,USA,1
11746550.0,English,USA,1
999853.0,English,USA,1
267761243.0,English,USA,1
-28419913.0,English,USA,1
-33873489.0,Cantonese,Hong Kong,0
-4115185.0,English,USA,1
-12048569.0,English,USA,1
-631531.0,English,USA,1
60050171.0,English,USA,1
35490000.0,English,USA,1
84713132.0,English,USA,1
-2292073.0,English,USA,1
-14168495.0,English,UK,1
-904547.0,English,USA,1
76491683.0,English,USA,1
-23948874.0,English,UK,1
-3017368.0,English,Canada,1
-24592750.0,English,USA,1
24400000.0,English,USA,1
116578352.0,English,USA,1
2411331.0,English,Australia,1
6962502.0,English,USA,1
26845943.0,English,USA,1
-18918217.0,Japanese,Japan,0
-4588020.0,English,USA,1
-30978265.0,English,USA,1
47715416.0,English,USA,1
117500000.0,English,USA,1
3600000.0,English,USA,1
-2981550.0,English,USA,1
96945720.0,English,USA,1
-3602635.0,English,USA,1
-15552522.0,English,UK,1
-10260951.0,English,Canada,1
-21561851.0,English,USA,1
13539321.0,English,USA,1
7368960.0,English,Canada,1
-698312689.0,Spanish,Spain,0
-4065142.0,English,Ireland,1
12351611.0,English,USA,1
-14292206.0,English,Greece,1
96945720.0,English,USA,1
42706877.0,English,USA,1
54600000.0,English,UK,1
51071133.0,English,USA,1
-24862498.0,English,USA,1
-2425934.0,English,USA,1
8432823.0,English,USA,1
276625409.0,English,USA,1
24001218.0,English,USA,1
45623128.0,English,USA,1
-69590483.0,English,USA,1
7017041.0,English,USA,1
-31480159.0,English,USA,1
-61430.0,English,USA,1
60341380.0,English,USA,1
6022940.0,English,USA,1
3432299.0,English,USA,1
-13200000.0,English,USA,1
246623634.0,English,USA,1
-31951647.0,English,USA,1
-4556684.0,English,USA,1
476767.0,English,USA,1
117204440.0,English,USA,1
-17680813.0,English,UK,1
-27481675.0,English,Germany,1
17442180.0,English,USA,1
-1234893.0,English,Australia,1
-7487948.0,English,USA,1
34244877.0,English,USA,1
24327868.0,English,Germany,1
-120706229.0,English,Germany,1
61423650.0,English,USA,1
4452209.0,English,USA,1
36468315.0,English,USA,1
2357532.0,English,USA,1
11095600.0,English,France,1
-8444012.0,English,Germany,1
2401264.0,English,UK,1
-33711680.0,English,USA,1
-818710.0,Korean,South Korea,0
5110552.0,English,USA,1
-12796359.0,English,Spain,1
24281723.0,English,USA,1
27200000.0,English,USA,1
-3785127.0,English,USA,1
-12112543.0,English,USA,1
2900000.0,English,USA,1
-11627590.0,English,USA,1
142000866.0,English,UK,1
5773825.0,English,USA,1
16632614.0,English,USA,1
-14290615.0,English,USA,1
-28834579.0,English,USA,1
-9908458.0,Italian,UK,0
7617947.0,English,USA,1
17277485.0,English,USA,1
49273505.0,English,USA,1
-17282242.0,English,USA,1
23343413.0,English,USA,1
-7443292.0,English,USA,1
4768918.0,English,USA,1
-23813043.0,English,UK,1
128821952.0,English,USA,1
-12587955.0,English,UK,1
47541000.0,English,USA,1
-553005191.0,Mandarin,China,0
47968405.0,English,USA,1
-18823678.0,English,USA,1
-42525888.0,English,USA,1
42343675.0,English,USA,1
-10000000.0,English,USA,1
-89809438.0,English,UK,1
-55263886.0,English,USA,1
31726644.0,English,USA,1
72656464.0,English,USA,1
5334024.0,English,USA,1
17450000.0,English,Canada,1
-46866.0,English,USA,1
23583175.0,English,USA,1
-39371991.0,English,USA,1
-23368755.0,English,USA,1
-23800483.0,English,USA,1
-9018150.0,English,USA,1
96248145.0,English,USA,1
-6621859.0,English,UK,1
10028592.0,English,UK,1
-4851788.0,English,USA,1
22360069.0,English,USA,1
-56425668.0,English,USA,1
123795342.0,English,UK,1
-5882440.0,English,USA,1
-2127109510.0,Japanese,Japan,0
35468793.0,English,USA,1
-3786587.0,Dutch,Netherlands,0
63074950.0,English,USA,1
18860010.0,English,USA,1
-16076109.0,English,USA,1
-198218.0,English,USA,1
-10904697.0,English,USA,1
1228120.0,English,USA,1
68413606.0,English,USA,1
-904547.0,English,USA,1
19506619.0,English,UK,1
-7601372.0,English,USA,1
65771527.0,English,USA,1
-35946421.0,English,USA,1
92536138.0,English,USA,1
348316061.0,English,USA,1
43347242.0,English,USA,1
39156435.0,English,USA,1
-22236956.0,English,Canada,1
-56073614.0,English,USA,1
-8368161.0,English,USA,1
14281235.0,English,USA,1
-451570.0,English,USA,1
-56403089.0,English,USA,1
-1398153.0,None,USA,0
663780.0,Persian,Iran,0
-10474724.0,English,USA,1
36398162.0,English,USA,1
-7663544.0,English,USA,1
-7569012.0,English,USA,1
-22509198.0,English,USA,1
19402612.0,English,USA,1
31015141.0,English,USA,1
10338609.0,English,USA,1
-4199788333.0,Korean,South Korea,0
-96179906.0,English,USA,1
-4515625.0,English,USA,1
58476776.0,English,USA,1
10331028.0,English,USA,1
-4005443.0,English,USA,1
124220.0,English,Canada,1
36468315.0,English,USA,1
80011740.0,English,USA,1
128821952.0,English,USA,1
8089926.0,English,UK,1
-61682000.0,English,Australia,1
111225040.0,English,USA,1
3946250.0,English,USA,1
-4776122.0,Italian,Italy,0
-74901420.0,English,Germany,1
9843379.0,English,USA,1
29968224.0,English,USA,1
-25057578.0,English,USA,1
2575718.0,English,USA,1
6415649.0,English,USA,1
13435068.0,English,USA,1
2695428.0,Portuguese,Brazil,0
-701468.0,English,USA,1
-1381565.0,French,France,0
-27699111.0,English,Australia,1
-38911390.0,English,USA,1
-6428265.0,English,USA,1
1676553.0,English,USA,1
-3087018.0,English,USA,1
31282411.0,English,USA,1
10338609.0,English,USA,1
20566230.0,English,USA,1
-41472875.0,English,USA,1
-239409.0,Arabic,France,0
66336103.0,English,USA,1
-4998280.0,English,USA,1
1610731.0,English,USA,1
-2001718.0,English,USA,1
8000000.0,English,UK,1
-10802214.0,French,France,0
-2800000.0,English,USA,1
50731542.0,English,USA,1
-59331829.0,Mandarin,China,0
13277561.0,English,USA,1
-200506.0,English,USA,1
32811275.0,English,USA,1
-8972555.0,English,USA,1
-19700000.0,English,USA,1
-12122192.0,English,USA,1
-11499034.0,English,USA,1
-20694789.0,English,USA,1
5565975.0,English,USA,1
2051787.0,English,USA,1
-7709024.0,English,USA,1
67900000.0,English,UK,1
33338338.0,English,USA,1
18292061.0,English,USA,1
-18218547.0,English,USA,1
65771527.0,English,USA,1
-30695163.0,English,USA,1
132568851.0,English,USA,1
-87000000.0,English,USA,1
55343774.0,English,USA,1
-3865783.0,English,USA,1
4886369.0,English,USA,1
4282851.0,English,USA,1
-1363170.0,English,UK,1
-24977277.0,English,Germany,1
-5204874.0,English,Canada,1
30127620.0,English,USA,1
-20656327.0,English,USA,1
17823573.0,English,USA,1
-13991568.0,English,USA,1
35305995.0,English,USA,1
-1734419.0,English,USA,1
38192114.0,English,USA,1
31726644.0,English,USA,1
-22520222.0,English,USA,1
-1950865.0,English,New Zealand,1
31217900.0,English,USA,1
88166115.0,English,USA,1
5682070.0,English,Germany,1
-21569645.0,English,USA,1
3000000.0,English,USA,1
11622333.0,Spanish,Mexico,0
-12170266.0,English,Canada,1
-37083113.0,English,USA,1
3738726.0,English,USA,1
65459099.0,English,USA,1
-128620685.0,English,USA,1
25794166.0,English,USA,1
-701468.0,English,USA,1
26853450.0,English,USA,1
14049211.0,English,USA,1
-5876166.0,English,USA,1
55768056.0,English,USA,1
4997134.0,English,USA,1
136138454.0,English,USA,1
34073773.0,English,USA,1
2752475.0,English,USA,1
22021740.0,English,USA,1
-19923562.0,English,USA,1
-80448338.0,English,Australia,1
33729374.0,English,USA,1
3517198.0,Spanish,Colombia,0
-28834579.0,English,USA,1
-10139961.0,English,USA,1
55034302.0,English,USA,1
-29125385.0,English,USA,1
-80448338.0,English,Australia,1
-15614237.0,English,USA,1
-17646272.0,French,France,0
35592846.0,English,USA,1
36885587.0,English,USA,1
-6457975.0,English,USA,1
-19983606.0,English,USA,1
-22505025.0,English,USA,1
55149435.0,English,USA,1
-31480159.0,English,USA,1
24812241.0,English,USA,1
37239856.0,English,USA,1
-49999390.0,English,USA,1
20566230.0,English,USA,1
34244877.0,English,USA,1
23338891.0,English,USA,1
-20761389.0,English,USA,1
-22528315.0,English,USA,1
-636215.0,English,USA,1
-55948241.0,English,USA,1
31134898.0,English,USA,1
40566004.0,English,USA,1
24412677.0,English,USA,1
5266619.0,English,USA,1
84031112.0,English,USA,1
3786715.0,English,USA,1
-25314641.0,English,USA,1
52387997.0,English,USA,1
4768918.0,English,USA,1
29993847.0,English,USA,1
18758599.0,English,USA,1
1920333.0,English,USA,1
23332128.0,English,USA,1
5911876.0,English,USA,1
12683670.0,English,USA,1
44287414.0,English,USA,1
-39871022.0,Mandarin,Hong Kong,0
39461335.0,English,USA,1
-7937613.0,English,USA,1
33600000.0,English,USA,1
-22556993.0,English,USA,1
14008741.0,English,USA,1
-22467699.0,English,USA,1
-9976725.0,English,France,1
60012710.0,English,USA,1
-5231584.0,English,USA,1
14772796.0,English,New Zealand,1
-29000000.0,English,UK,1
1178893.0,English,USA,1
65871240.0,English,USA,1
21097664.0,English,USA,1
55370362.0,English,USA,1
24054514.0,English,USA,1
23237389.0,English,USA,1
-123471.0,English,Japan,1
10090181.0,English,USA,1
-928770.0,English,USA,1
21285499.0,English,USA,1
-4557180.0,English,USA,1
88166115.0,English,USA,1
5584685.0,English,USA,1
-62643910.0,English,USA,1
5292381.0,English,USA,1
76801374.0,English,USA,1
-6785970.0,English,USA,1
20054909.0,English,USA,1
-28888740.0,English,USA,1
-9528558.0,French,France,0
-5515935.0,English,Germany,1
15990505.0,English,USA,1
32356857.0,English,USA,1
-9094723.0,English,USA,1
-7115337.0,English,USA,1
-84593638.0,English,USA,1
-809722.0,English,USA,1
-33716560.0,English,USA,1
12738400.0,English,USA,1
5434867.0,English,USA,1
13883359.0,English,USA,1
-18592056.0,English,Canada,1
29041560.0,English,UK,1
-9094723.0,English,USA,1
349947.0,English,UK,1
5222640.0,English,USA,1
54200000.0,English,USA,1
11051260.0,English,New Zealand,1
-6953549.0,English,USA,1
8045844.0,English,USA,1
36636816.0,English,USA,1
2814185.0,English,USA,1
-11689814.0,Korean,South Korea,0
41573085.0,English,USA,1
-59331829.0,Mandarin,China,0
40184721.0,English,USA,1
-9421473.0,English,USA,1
-10802214.0,French,France,0
28536019.0,English,USA,1
-20656327.0,English,USA,1
