director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western,director_high,director_low,actor_1_high,actor_1_low,actor_2_high,actor_2_low,actor_3_high,actor_3_low
Dean Parisot,213.0,102.0,23.0,436.0,Enrico Colantoni,25000.0,71423726.0,comedy,Alan Rickman,Galaxy Quest ,123558,26998,Robin Sachs,3.0,alien|alien race|convention|fan|general,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,609.0,English,USA,PG,45000000.0,1999.0,724.0,7.3,2.35,19000,26423726.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Clint Eastwood,264.0,141.0,16000.0,539.0,Michael Kelly,11000.0,35707327.0,crime,Angelina Jolie Pitt,Changeling ,199056,12840,Colm Feore,0.0,execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,387.0,English,USA,R,55000000.0,2008.0,963.0,7.8,2.35,14000,-19292673.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Mike Newell,56.0,124.0,179.0,551.0,Kurt Fuller,11000.0,8406264.0,comedy,Angelina Jolie Pitt,Pushing Tin ,24826,13093,Jake Weber,3.0,air traffic control|air traffic controller|female bodybuilder|job|marriage,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175.0,English,USA,R,38000000.0,1999.0,617.0,6.0,2.35,783,-29593736.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Joe Nussbaum,72.0,108.0,18.0,433.0,Matt Long,714.0,11702090.0,comedy,Danny Strong,Sydney White ,37700,2785,Samm Levine,2.0,college|college girl|female protagonist|sorority|sorority house,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,50.0,English,USA,PG-13,16500000.0,2007.0,701.0,6.3,2.35,0,-4797910.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Johnny Remo,2.0,112.0,74.0,891.0,Randy Wayne,260000.0,96734.0,drama,Matthew Ziff,Hardflip ,606,263584,Raquel Elizabeth Ames,3.0,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5.0,English,USA,PG-13,1000000.0,2012.0,984.0,5.6,1.85,706,-903266.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Gary Trousdale,146.0,95.0,21.0,503.0,Jim Varney,12000.0,84037039.0,sci_fi,Leonard Nimoy,Atlantis: The Lost Empire ,72591,15237,Cree Summer,0.0,atlantis|crew|expedition|journal|museum,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,289.0,English,USA,PG,120000000.0,2001.0,802.0,6.8,2.35,0,-35962961.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
Jorge R. Gutiérrez,156.0,95.0,34.0,679.0,Hector Elizondo,17000.0,50150619.0,adventure,Channing Tatum,The Book of Life ,45580,19513,Ana de la Reguera,1.0,afterlife|bullfight|bullfighting|love triangle|mexico,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,102.0,English,USA,PG,50000000.0,2014.0,995.0,7.3,2.35,18000,150619.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Steve Antin,197.0,119.0,59.0,676.0,Peter Gallagher,2000.0,39440655.0,music,Eric Dane,Burlesque ,61680,4315,David Walton,1.0,burlesque|dancer|iowa|small town girl|stage,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,222.0,English,USA,PG-13,55000000.0,2010.0,828.0,6.4,2.35,19000,-15559345.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
James Wong,98.0,85.0,70.0,848.0,Jet Li,26000.0,43905746.0,sci_fi,Jason Statham,The One ,77684,32831,Delroy Lindo,1.0,fight|multiverse|police|police officer|prison,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294.0,English,USA,PG-13,49000000.0,2001.0,5000.0,5.9,2.35,0,-5094254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
Risa Bramon Garcia,67.0,101.0,112.0,612.0,Dave Chappelle,1000.0,6851636.0,comedy,Janeane Garofalo,200 Cigarettes ,13010,2697,Gaby Hoffmann,5.0,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182.0,English,USA,R,6000000.0,1999.0,744.0,5.9,1.85,0,851636.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
