duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,profit
102.0,23.0,436.0,25000.0,26998,3.0,1999.0,724.0,7.3,2.35,19000,26423726.0
141.0,16000.0,539.0,11000.0,12840,0.0,2008.0,963.0,7.8,2.35,14000,-19292673.0
124.0,179.0,551.0,11000.0,13093,3.0,1999.0,617.0,6.0,2.35,783,-29593736.0
108.0,18.0,433.0,714.0,2785,2.0,2007.0,701.0,6.3,2.35,0,-4797910.0
112.0,74.0,891.0,260000.0,263584,3.0,2012.0,984.0,5.6,1.85,706,-903266.0
95.0,21.0,503.0,12000.0,15237,0.0,2001.0,802.0,6.8,2.35,0,-35962961.0
95.0,34.0,679.0,17000.0,19513,1.0,2014.0,995.0,7.3,2.35,18000,150619.0
119.0,59.0,676.0,2000.0,4315,1.0,2010.0,828.0,6.4,2.35,19000,-15559345.0
85.0,70.0,848.0,26000.0,32831,1.0,2001.0,5000.0,5.9,2.35,0,-5094254.0
101.0,112.0,612.0,1000.0,2697,5.0,1999.0,744.0,5.9,1.85,0,851636.0
88.0,50.0,441.0,691.0,2622,0.0,2003.0,569.0,4.9,2.35,988,-14182006.0
98.0,7.0,17.0,289.0,362,0.0,2004.0,38.0,7.4,1.85,442,-2604984.0
143.0,563.0,1000.0,40000.0,48184,3.0,2003.0,5000.0,8.1,2.35,10000,165388685.0
120.0,153.0,447.0,1000.0,3175,0.0,2004.0,1000.0,5.8,2.35,0,-85995841.0
123.0,452.0,329.0,10000.0,11287,8.0,2016.0,336.0,6.9,2.35,80000,-13912817.0
96.0,5.0,52.0,766.0,1251,3.0,2002.0,358.0,6.7,1.85,97,-6803933.0
103.0,906.0,748.0,1000.0,6207,0.0,1998.0,906.0,6.4,2.35,1000,12117571.0
101.0,473.0,429.0,833.0,2690,0.0,2014.0,809.0,5.9,2.35,62000,65871240.0
100.0,70.0,99.0,473.0,1100,0.0,2009.0,315.0,2.7,2.35,0,-35646427.0
129.0,0.0,385.0,12000.0,13573,4.0,2013.0,412.0,6.5,2.35,43000,23874933.0
98.0,24.0,67.0,381.0,684,0.0,1982.0,128.0,4.6,2.35,0,11900000.0
95.0,89.0,263.0,16000.0,17471,0.0,2010.0,517.0,7.0,2.35,24000,-1971342.0
101.0,6.0,258.0,812.0,1882,1.0,2003.0,326.0,5.7,1.85,371,-1891482.0
130.0,188.0,1000.0,10000.0,16385,2.0,2012.0,3000.0,7.0,2.35,38000,20033643.0
103.0,350.0,99.0,5000.0,5637,1.0,2005.0,378.0,7.1,1.85,0,-8965564.0
91.0,2.0,480.0,12000.0,22668,1.0,2009.0,10000.0,6.1,2.35,0,-27805940.0
104.0,122.0,458.0,22000.0,23461,1.0,1998.0,472.0,6.7,1.85,392,2386698.0
110.0,49.0,20.0,13000.0,13331,2.0,1994.0,279.0,5.4,1.85,0,12362581.0
110.0,52.0,651.0,10000.0,13396,12.0,2012.0,2000.0,5.7,2.35,14000,1102171.0
